text,annotator1,label
tắt trò chuyện,0,0
ok chưa,0,0
khóc nữa tui chịu,0,0
rồi cướp rồng,0,0
đánh cẩn thận,0,0
khác gì con bò đâu,0,0
mày ngu à,1,1
sứ giả,0,0
về không về,0,0
dm,1,1
đụ má,1,1
bỏ,0,0
địt mẹ,1,1
quăng game à,0,0
top với ad đánh chung à,0,0
sp gánh mà tụi mày lo gì,0,0
được,0,0
kém thật,0,0
sao chạy,0,0
đánh đi,0,0
all rồng,0,0
ăn đi,0,0
tao ra kịp,0,0
đánh,0,0
về,0,0
rồng,0,0
end,0,0
sao mà giết,0,0
múa đi,0,0
bạn ơi,0,0
xin top,0,0
ok,0,0
mày đi top hay gì ok,0,0
dm tưởng thật,1,1
địt mẹ tưởng thật,1,1
thế có đổi không,0,0
ok,0,0
t bảo rồi,0,0
bạn tao nói ok,0,0
đánh phép đi,0,0
lồn nào coi phim sex,1,1
tao,0,0
biến thái,0,0
đụ má,1,1
kimochi,0,0
đúng mấy thằng vàng rách chỉ thế thôi,0,0
tao bạc nè,0,0
dkm,1,1
mẹ sp hoài,1,1
đánh không,0,0
tắt tool đi,0,0
cứu bố mày với,0,0
tool lộ vl,1,1
tool lộ vãi lồn,1,1
tool như con chó vậy,1,1
thằng ngu,1,1
thằng ngu này,1,1
ngu như chó ăn cứt,1,1
ngu,1,1
cmm,1,1
con mẹ mày,1,1
mày gank ai,0,0
mày cũng có sống đâu,0,0
2 đánh 1 mà,0,0
là lời không,0,0
thì,0,0
cũng không lời,0,0
nó gank mày đó,0,0
mất đợt lính,0,0
sao không,0,0
lỗ,0,0
lời chưa,0,0
lỗ,0,0
chắc thằng rừng bị ping nhiều lắm,0,0
câm mẹ mồm,1,1
chịu,0,0
có đủ dame giết đâu,0,0
chết thay sp luôn,0,0
tự dưng làm anh hùng,0,0
phế quá mà chết thay là đúng rồi,0,0
sống cũng chẳng để làm gì,0,0
bắn cho cố vào,0,0
sao all đi mấy ba,0,0
bảo ăn đéo ăn,1,1
thì win cái đầu buồi,1,1
để top nó kéo ad late,0,0
đéo hiểu kiểu lồn gì,1,1
tank thì đéo có,1,1
địt con mẹ cái thằng chó này nữa,1,1
bố mày nói nhẹ nhàng,0,0
thì cái địt con mẹ nhà mày càng feed,1,1
không chơi thì địt cái con cụ nhà mày cút con mẹ mày đi,1,1
all,0,0
đổ vạ thằng mid cái địt bố nhà mày à,1,1
nãy giờ bình tĩnh gánh team,0,0
giờ chịu ko nổi chat all chửi rừng,0,0
tao đã cậu cậu tớ tớ rồi,0,0
cũng đúng thôi,0,0
tao là mày cũng chửi rồi,0,0
địt con mẹ mày nhẹ không thích thích ưa nặng à,1,1
hài vl,1,1
hài vãi lồn,1,1
tao hết chịu nổi rồi,0,0
rừng ngu quá,1,1
bắt ai,0,0
top đổi đường không bạn,0,0
top,0,0
không biết đi rừng,0,0
có flash không flash ông,0,0
lại đây,0,0
không đánh nhau,0,0
bò,0,1
chết queo,0,0
xuống bot mà farm top ơi,0,0
có trụ cho dễ,0,0
đi theo đi,0,0
nó đi thì ông đi,0,0
def,0,0
def được thôi rồi,0,0
mày rảnh không,0,0
nó cắm nguyên cái con ad mà vẫn lao vô được,0,0
tốc biến luôn,0,0
gg đi mấy em,0,0
4 vs 5 chấp thằng ngu,1,1
ủa alo,0,0
đánh thường mà ta,0,0
vui là chính,0,0
lúc đầu đừng có tốc biến là hòa lane rồi,0,0
ngu thì cút,1,1
bỏ nha,0,0
tao đùa thôi,0,0
hài,0,0
ff thôi,0,0
người làm chó hưởng,1,1
đùa tý căng,0,0
chán quá ha,0,0
anh em tank đi,0,0
bot gánh,0,0
team này càng late càng win,0,0
anh em đánh chậm xíu,0,0
bên nó late đâu kém,0,0
mà sợ cc gì,1,1
mà sợ con cặc gì,1,1
đánh thế lồn nào lại,1,1
ad sp,0,0
đẩy lính,0,0
ping cc đẩy lính chậm vcl,1,1
ping con cặc đẩy lính chậm vãi cả lồn,1,1
đứng trên mắt,0,0
nói cc,1,1
nói con cặc,1,1
sao chạy,0,0
đánh đi,0,0
tự dưng ping cao quá,0,0
làm ăn như cặc,1,1
thiếu người đừng cướp,0,0
bên mình có người lag nữa,0,0
lag thật anh em,0,0
lag quá,0,0
afk đây,0,0
lag quá,0,0
ủa tưởng afk,0,0
thôi càng có lý do afk,0,0
sao bạn lừa tui,0,0
ping có 33 mà nó giật,0,0
nó để ping cho có thôi chứ lag vẫn lag à,0,0
nay chiêu mới,0,0
đợi gg thôi,0,0
vl,1,1
vãi lồn,1,1
ping có 40 mà giật,0,0
khó chịu vc,1,1
khó chịu vãi cặc,1,1
ngu vl,1,1
ngu vãi lồn,1,1
farm hoài vậy rừng,0,0
thôi ff,0,0
lag quá,0,0
mày giỏi ra mid def đi,0,0
mới vô game,0,0
tao hỏi rồi,0,0
ai cũng tự tin,0,0
hôm qua chơi còn ngon mà,0,0
tao biết,0,0
bọn mày thôi,0,0
làm riết game nát vcc,1,1
làm riết game nát vãi con cặc,1,1
vậy sao đánh,0,0
ff sớm đi,0,0
win không nổi đâu,0,0
không có remake,0,0
10 ff được mà,0,0
cái lồn mẹ,1,1
nó lag,0,0
kinh vc,1,1
kinh vãi cặc,1,1
ff đi,0,0
giống như nhân viên đội ngũ ăn rồi họp tìm cách phá game vậy,0,0
nghỉ thôi ae,0,0
game rác vc,1,1
game rác vãi cặc,1,1
ff được rồi,0,0
đéo afk đi,1,1
được không,0,0
l sao hết lag vậy,0,0
khó chơi vcl,1,1
khó chơi vãi cả lồn,1,1
ad không tốc biến,0,0
ping cdg gì chúng nó ra mày không ra thì chịu đi,1,1
ping cái đéo gì gì chúng nó ra mày không ra thì chịu đi,1,1
buff lúc nó dame tao,0,0
toàn buff lúc linh tinh,0,0
cover tao,0,0
bố thiếu ad,0,0
đang chạy lên,0,0
đã đánh rồi,0,0
bảo bố rồi 4 vs 5 đánh cdg,1,1
bảo bố rồi 4 vs 5 đánh cái đéo gì,1,1
ad bị ngáo hả,0,0
vãi lồn,1,1
ngáo ngơ vl,1,1
ngáo ngơ vãi lồn,1,1
đang đi lên,0,0
trúng vào ăn lồn à,1,1
đéo kịp,1,1
đánh vậy thua đó bro,0,0
xin lỗi,0,0
mày đánh không được pick chi kèo khó vậy,0,0
bỏ đi,0,0
mẹ,1,1
con quái vật vl,1,1
con quái vật vãi lồn,1,1
lồn ngu vkl,1,1
lồn ngu vãi cả lồn,1,1
gà quá,1,1
sút con ra thôi,0,0
sát thủ,0,0
1 hit one kill,0,0
để lại em,0,0
vy ơi,0,0
ra mid nè,0,0
không tốc biến,0,0
ok,0,0
lừa đấy,0,0
cho đẩy đi,0,0
đẩy vào,0,0
đi,0,0
băng nè,0,0
về,0,0
ăn baron,0,0
3 đấm,0,0
rồng,0,0
đánh cc gì nữa,1,1
đánh con cặc gì nữa,1,1
kìa sp,0,0
không về à,0,0
tao tự đẩy được,0,0
tưởng đẩy nhanh cho về,0,0
tự nhiên tao về mày ping tao,0,0
gank đi mày,0,0
đánh con đấy mà farm không,0,0
rừng ơi,0,0
mày ko gank,0,0
thì mày ăn sứ giả,0,0
ăn rồng đi,0,0
bot đang win,0,0
mày cứ vòng vòng,0,0
được camp mà ngu con chó,1,1
múa múa,0,0
2 thằng óc lồn,1,1
chửi thế,0,0
nó tự ái đó,0,0
nó không ngu đâu chỉ là hơi óc chó tý thôi,1,1
để sp giết như giết 1 con chó dại,1,1
camp nữa đi con,0,0
về,0,0
bơm item,0,0
đéo có tầm nhìn gì,1,1
chết xong ping,0,0
wtf,1,1
ra đc mà 3,0,0
2 thằng đó mạnh đéo đâu,1,1
5 thằng,0,0
kêu 2 thằng,0,0
5 thằng,0,0
mù map à,1,1
2 thằng bot,0,0
nó học hết rồi,0,0
đụ má,1,1
1 thằng đang theo mid,0,0
lên mà đánh,0,0
nói cc,1,1
nói con cặc,1,1
out mẹ acc đi,1,1
mà thằng rừng nó đéo có trong đó,1,1
đưa acc đây tao đánh 2 acc,0,0
câm mẹ mồm mà đánh,1,1
sủa lắm quá,1,1
điếc tai vc,1,1
điếc tai vãi cặc,1,1
đánh thì ngu,1,1
sủa rõ to,1,1
chỉ cho thì đéo nghe,1,1
giờ câm thế,1,1
gà vc,1,1
gà vãi cặc,1,1
đứng im cho đéo trúng,1,1
lồn mẹ mày,1,1
của mày,0,0
hụt,0,0
thì,0,0
gà,1,1
thua lane ngu lồn rồi sủa địt mẹ mày,1,1
nó đứng im thật,0,0
thua,0,0
trúng thì làm con cặc gì nó,1,1
ngu thật sự,1,1
trình rách,0,0
top ơi,0,0
di chuyển nè ông,0,0
nice,0,0
di chuyển chậm rồi,0,0
bị đẩy 2 wave,0,0
bỏ phải không,0,0
ui,0,0
ra mid đi,0,0
không đánh thì ff con mẹ mày đi sủa lắm thế,1,1
không đánh thì ff con mẹ mày đi sủa lắm thế,1,1
địt cả họ mày,1,1
địt cả họ mày,1,1
né đi,0,0
nhà mày được sủa à,1,1
mày xuống mà né,0,0
vào game sủa,1,1
ở nhà bố mẹ mày không cho mày sủa à,1,1
mà lên game sủa như được mùa,1,1
tội thế,0,0
lêu lêu sủa như được mùa,1,1
bố cái loại mõm súc sinh,1,1
cha nội,0,0
mẹ,1,1
bớt xàm lồn đi ba,1,1
à nhầm mõm súc vật mới sủa lắm thế,1,1
mày sủa lắm quá bố mày mới nói cho cái loại súc vật mày biết,1,1
oai buồi gì cái loại vào game sủa như con súc vật,1,1
thử ra đường sủa câu xem có bị đấm vào cái mồm súc vật nhà mày không,1,1
rồi ông phá game luôn,0,0
thấy không nói gì bắt đầu sủa nhiều hơn à con súc sinh,1,1
bố mày 2 8 đấy làm gì bố mày địt mẹ mày,1,1
bố mày 2 8 đấy làm gì bố mày địt mẹ mày,1,1
không né nữa à,1,1
lên giày xuyên phép đi,0,0
không đánh thì ff conmemay đi,1,1
không đánh thì ff con mẹ mày đi,1,1
cái lồn mả mẹ gì mày sủa lắm thế,1,1
mày 9 1 vẫn bị tao giết thôi,0,0
1 vs 2 với thằng 9 1 thì nói gì,0,0
hết sủa đội giờ lên all sủa,1,1
được mùa quá mà,0,0
ở nhà bố mẹ cấm sủa vào game sủa cho đã,1,1
mid hay đấy,0,0
team chửi nhau quá các ông,0,0
gg,0,0
tao không gank top,0,0
xin lỗi,0,0
chơi an toàn tí rừng nó biết chơi,0,0
cứ farm đóng băng thôi,0,0
nó tướng poke hơn tao đó,0,0
rừng combo đỉnh vãi,0,0
rừng gà,1,1
yếu còn đánh nhau,0,0
rừng thì không gank được lane nào,0,0
lại gặp mày ad,0,0
sao vậy,0,0
ngu quá à,0,1
17 để thua 36 à,0,0
đâu 36 là thằng nào,0,0
không biết,0,0
rồi hay,0,0
đần vcl,1,1
đần vãi cả lồn,1,1
solo với level 1,0,0
tuyệt vời,0,0
mid không spell,0,0
ai sp không,0,0
ad đi,0,0
ok,0,0
tao sp cho,0,0
sp gì đấy,0,0
ngon,0,0
ăn xong farm không,0,0
top swap không bro,0,0
không,0,0
báo quá,0,0
tưởng đủ dame,0,0
sao mày về,0,0
vì tao thích thế,0,0
hỏi như hỏi,0,0
ai hỏi mày,0,0
đâu hỏi mày,0,0
quê vl,1,1
quê vãi lồn,1,1
vc đéo gì phải chat all,1,1
vãi cặc đéo gì phải chat all,1,1
ngu,1,1
rất ngu,1,1
ăn nè,0,0
dốt vkl,1,1
dốt vãi cả lồn,1,1
người ở trên người ở dưới,0,0
khó đánh quá,0,0
không kịp bắn,0,0
ngu,1,1
team ngu,1,1
câu hết chiêu vào bố mày,0,0
mid level 14,0,0
rồi thua,0,0
phế vật,1,1
mẹ chúng nó 2 tele,1,1
mình không tele,0,0
mày đẩy lẻ chúng nó đánh gỡ,0,0
combat toàn tao mở ăn hơn 1 người xong toàn thua,0,0
xàm,0,0
ngu,1,1
thì thua,0,0
ngu,1,1
meta mới à,0,0
tao ad mà,0,0
cút,1,1
mày vào sớm quá,0,0
dbrr,1,1
đầu buổi rẻ rách,1,1
lag vậy,0,0
má,0,1
giật,0,0
mù map à,1,1
mất xe,0,0
toang,0,0
camp mid ăn lồn à,1,1
vl,1,1
vãi lồn,1,1
địt,1,1
hay,0,0
ks ăn lồn à,1,1
để flash mà đánh,0,0
báo quá,0,0
không có tính ks đấy,0,0
xin lỗi nha,0,0
sợ nó chạy thôi,0,0
sặc,0,0
đạp bom,0,0
đẩy,0,0
dùm,0,0
ghê,0,0
chạy,0,0
gank top đi,0,0
băng trụ,0,0
def mid,0,0
rừng,0,0
lồn rừng,1,1
không def cho tao,0,0
có cc nữa mà def,1,1
có con cặc nữa mà def,1,1
nó lên đó được đấy,0,0
nó xuống bot chết 2 mạng def đéo gì cho mày,1,1
ngu,1,1
gà vl,1,1
gà vãi lồn,1,1
ad tao bắn hết,0,0
rồi,0,0
không ăn à,0,0
tao kéo hết xuống bot rồi không ăn baron,0,0
ăn hết rồi,0,0
quên mất có rồng,0,0
kệ nó,0,0
ngu vậy,1,1
1 mình giết 4,0,0
làm hết mẹ rồi,1,1
bạn là nhất,0,0
camp mid ăn lồn,1,1
thế nào nó cũng lên top kiếm,0,0
10 game gặp thì hết 9 game thua,0,0
game này game thứ 10,0,0
ừm được rồi,0,0
đừng có,0,0
ôm thôi,0,0
nó đi rồi,0,0
má,0,1
không lên level 3,0,0
top hết,0,0
chuột nó không di chuyển lane khác,0,0
cứ đánh đi,0,0
mẹ mày,0,1
chờ lính đẩy về,0,0
tao lên,0,0
lính vậy,0,0
đi đẩy,0,0
bỏ đi,0,0
clm,1,1
cái lồn má,1,1
kêu rồi,0,0
gank nè,0,0
mày ở lại đi,0,0
cầm tiền kêu ở lại,0,0
về để tao ăn,0,0
từ từ,0,0
mày nghĩ tao flash kịp,0,0
nó ăn rồng,0,0
3r,0,0
nè,0,0
sao,0,0
đánh thằng,0,0
sp nó lấy cái giáp ảo,0,0
tao nhảy nó chết mẹ rồi,1,1
tao có nhảy tao sp nó đc đâu,0,0
con sp nó biết giữ vị trí mà,0,0
về cái,0,0
alo,0,0
cái cái rồi,0,0
để chi vậy,0,0
mẹ sp,1,1
lành ít dữ nhiều rồi,0,0
là sao,0,0
con này sp tác dụng gì dạ,0,0
đéo có tác dụng,1,1
chiêu đâu,0,0
tác dụng feed,0,0
ác vậy,0,0
ông chưa mất flash à,0,0
mất rồi,0,0
báo,0,0
mày lao lên mà,0,0
không nhường mạng cho tao,0,0
tao về được rồi,0,0
là thua lane,0,0
con mẹ,1,1
2 thằng bây,0,0
xin lỗi,0,0
babe,0,0
mid sao không ra,0,0
con chó ngu mid ping hộ bố mày cái,1,1
roam đi,0,0
nãy đã hồi đâu,0,0
mày cứ ôm cái mid farm,0,0
mẹ mày,1,1
xanh mà ngu vl,1,1
xanh mà ngu vãi lồn,1,1
gg,0,0
nhầm bảng rồi,0,0
vl team không phép,1,1
vãi lồn team không phép,1,1
mày pick cuối cùng,0,0
xạ thủ lên phép,0,0
ping cái lồn,1,1
thì sao,0,0
mid phải phép chứ,0,0
thì hỏi nó,0,0
phép được mà,0,0
không lo,0,0
yếu,0,0
yếu mẹ chứ yếu,1,1
má tao không biết mang bảng gì nữa,0,1
lời mà,0,0
đánh đi,0,0
bớt ngu đi ad,1,1
farm thôi cũng không làm được,0,0
25 con lính,0,0
đéo hiểu chơi cái gì nữa,1,1
out trình vcl vậy trời,1,1
out trình vãi cả lồn vậy trời,1,1
má,1,1
lại tốc,0,0
chạy về tao,0,0
nó tốc,0,0
flash đi đâu,0,0
quên,0,0
đánh chậm lại đi thôi,0,0
chat all,0,0
đợi mid khỏe gánh cho,0,0
vl quên,1,1
vãi lồn quên,1,1
cắm mắt cái,0,0
ad thật sự ngu thật sự đấy đánh cái lồn gì,1,1
thằng mid nó không biết ping đâu,0,0
thấp thôi,0,0
ping cc,1,1
ping con cặc,1,1
ngu vc,1,1
ngu vãi cặc,1,1
top long ăn nhưng mà gọi người,0,0
do mày ngu,1,1
cầm con vẫn thau con rồng,0,0
hiểu cái trình,0,0
có em,0,0
bên đây tận 3 thằng ngu lận,1,1
1 7 team tao,0,0
chắc mày khôn,0,0
chịu,0,0
thì gánh ngu,0,1
1 7 5,0,0
toàn bị hội đồng thế này,0,0
giờ hết hành tao rồi,0,0
đầu game được 2 bùa,0,0
cũng ghê đấy,0,0
ad chạm vào hỗ trợ cũng được,0,0
đánh nhìn tí,0,0
quên tắt chỗ nào ông,0,0
đánh đi thua đâu,0,0
tướng lỗi vc,1,1
tướng lỗi vãi cặc,1,1
alo,0,0
ping con mẹ mày,1,1
đéo đánh thì cút,1,1
đụ má,1,1
đụ má,1,1
tao làm gì,0,0
mấy bạn,0,0
tao cướp 3r được rồi,0,0
tự nhiên lao qua đánh nó,0,0
cái gì vậy,0,0
đéo hiểu,1,1
có 3r rồi lao xuống làm gì,0,0
nhảy thẳng xuống,0,0
đụ má,1,1
đụ má,1,1
ngáo vc,1,1
ngáo vãi cặc,1,1
report,0,0
thêm thằng vác đi mid,0,0
bỏ,0,0
rồi mày không để mắt cho tao sút à,0,0
méo đổi được con mắt,0,1
thì chịu,0,0
thế cũng đéo ăn được,1,1
3r nha,0,0
bot rồi,0,0
nó ngu vcc,1,1
lee nó ngu vãi con cặc,1,1
hơn nhau ván game,0,0
đang đẩy,0,0
chứ chưa chắc hơn nhau ngoài đời đâu,0,0
tao nói thật,0,0
hên gặp bot nó late ngu,1,1
gg,0,0
mid nó làm thịt hết luôn,0,0
pick tướng out vc,1,1
pick tướng out vãi cặc,1,1
ngu,1,1
bro ơi,0,0
ai swap giúp với,0,0
ủa sao viết chữ,0,0
swap với tôi,0,0
tao mid,0,0
phụ cái bot,0,0
mid,0,0
sang cắm mắt,0,0
không cần theo,0,0
nice,0,0
được luôn,0,0
nice,0,0
đi,0,0
cua 2 sắp ra,0,0
nó ra,0,0
top lên đây nhanh,0,0
từ từ,0,0
ác vậy,0,0
hay thế bạn,0,0
khó thế nhỉ,0,0
vcl,1,1
vãi cả lồn,1,1
lạy 2 bố,0,0
đánh luôn,0,0
tuổi con cặc,1,1
đánh cc gì vậy,1,1
đánh con cặc gì vậy,1,1
ông rừng ngu vcl,1,1
ông rừng ngu vãi cả lồn,1,1
giết 1 thằng thôi,0,0
đánh con kia kìa,0,0
thằng kia dễ bắt,0,0
mày đánh làm cc gì,1,1
mày đánh làm con cặc gì,1,1
thua 2 ông,0,0
đéo có flash,1,1
đi đánh làm gì,0,0
không ping spell,0,0
tuổi lồn,1,1
farm hộ à,0,0
rồng,0,0
ngu,1,1
dạ xin lỗi anh,0,0
sứ giả luôn,0,0
lấy trụ đi,0,0
chạy đi,0,0
ngu hơn chó,1,1
ok,0,0
bố mày là sp,0,0
thì làm sao,0,0
nhưng mạng mày có tiền,0,0
cay,0,0
đánh thằng trước,0,0
sủa lên,1,1
camp sủa ác thật,1,1
ăn rồng kìa,0,0
đéo thấy hả mày,1,1
suýt chết,0,0
dcm,1,1
địt con mẹ,1,1
má con tướng rác,1,1
rác vc,1,1
rác vãi cặc,1,1
có cái giáp gai,0,0
trâu vc ra,1,1
trâu vãi cặc ra,1,1
óc lồn,1,1
cẩn thận thua nhục lắm con trai,0,0
thua lồn con mẹ mày thôi,1,1
lồn mẹ mày,1,1
non lắm,1,1
lũ ngu,1,1
đánh thì đi chung đi,0,0
nhảy cụ mày vào,0,0
camp cái con cặc tao,1,1
đéo biết sút liền,1,1
má,1,1
khống chế nhiều quá,0,0
đéo có phép,1,1
đánh cc gì được,1,1
đánh con cặc gì được,1,1
chúng mày ghê quá,0,0
thua rồi đấy con trai,0,0
sủa nhiều vl,1,1
sủa nhiều vãi lồn,1,1
không,0,0
cay,0,0
chắc team mày nói ít,0,0
rồng 4,0,0
ad nó kìa,0,0
có mega rồi,0,0
tao đẩy top nha,0,0
ừ,0,0
chúng mày mở giao tranh bot đi,0,0
đánh 3r đi,0,0
có rồng nước,0,0
giết ngay,0,0
chạy kìa,0,0
haha,0,0
3r,0,0
để sp gà nhất team,1,0
má nó trâu kìa,0,1
xin red,0,0
ăn cua đi,0,0
vô chi vậy má,0,0
giết mấy con chủ lực đi,0,0
kệ 2 con trâu đó,0,0
này thì trâu này,0,0
lên mà solo với thằng,0,0
thấy mày ngu không,1,1
lấy mega đi,0,0
rồng được,0,0
tao ăn 1 mình được,0,0
sủa lên,1,1
all end không,0,0
cay không,0,0
con chó,1,1
được,0,0
tao giết đúng con,0,0
ngu thế,1,1
gáy lên,1,0
sủa lên em ơi,1,1
cái địt mẹ mày,1,1
ngu như lồn,1,1
gáy lên đi em,1,0
con chó này,1,1
cướp đi em,0,0
ad đánh vc,1,1
ad đánh vãi cặc,1,1
đánh vc,1,1
đánh vãi cặc,1,1
mất hết rồi,0,0
tao lạy mày,0,0
má bay không tới,1,1
vcl,1,1
vãi cả lồn,1,1
thiếu người mà vào nhanh quá,0,0
clm,1,1
cái lồn má,1,1
ping đánh,0,0
rồi rừng không tới,0,0
đéo biết nói cái gì,1,1
nhìn map tao tới gần rồi đánh chứ,0,0
ff,0,0
ad cũng gà vcl ra,1,1
ad cũng gà vãi cả lồn ra,1,1
ad cũng gà,1,1
đánh con sp,0,0
hèn vc,1,1
hèn vãi cặc,1,1
bot rank bạch kim hơn nó thua lane à,0,0
núp núp,0,0
hay thật,0,0
ảo thế nhỉ,0,0
thôi ff,0,0
đánh với thằng sp này mệt vcl,1,1
đánh với thằng sp này mệt vãi cả lồn,1,1
đánh ad đần vcl,1,1
đánh ad đần vãi cả lồn,1,1
skill toàn trúng,0,0
không,0,0
né như cc,1,1
né như con cặc,1,1
ok,0,0
vcl,1,1
vãi cả lồn,1,1
đùa nhau,0,0
clm,1,1
cái lồn má,1,1
hay,0,0
thua là đúng rồi,0,0
đéo có cái con mẹ gì,1,1
cũng dí bằng được thằng ad nó,0,0
2 thằng lồn bot dốt vcc đéo lo đánh,1,1
2 thằng lồn bot dốt vãi con cặc đéo lo đánh,1,1
con đĩ mẹ mày gank thì ngu ngậm mõm vào,1,1
sủa lắm vcl,1,1
sủa lắm vãi cả lồn,1,1
kda rác vãi cặc,1,1
rồi,0,0
bot chết nhiều thế,0,0
lồn ngu vãi cặc đéo biết sao gank,1,1
đánh được,0,0
đánh đi,0,0
lại chat ẳng suốt đầu game tới giờ,1,1
tao cover mid với top cho,0,0
14 mạng,0,0
vcl,1,1
vãi cả lồn,1,1
ai ẳng,1,1
ẳng cái con mẹ mày,1,1
đánh đi,0,0
rác ad,0,0
nói gank ngu thì cãi,1,1
thằng lồn sp,1,1
tao bảo chiêu cuối vào ad nó để tao chiêu cuối,0,0
đéo đánh,1,1
ngu vl,1,1
ngu vãi lồn,1,1
đã ping thế mà đéo đánh,1,1
chiêu cuối ad nó tao giết được,0,0
đánh rồng,0,0
top ăn xong rồng,0,0
sứ giả,0,0
vl hết rồi,1,1
vãi lồn hết rồi,1,1
sp di chuyển chán thế,0,0
ra cover cho rừng chạy,0,0
team nó ở đấy,0,0
khó đánh vcc,1,1
khó đánh vãi con cặc,1,1
mẹ bot nó xanh quá,1,1
mày chiêu cuối ad nó,0,0
để tao rừng,0,0
đẩy cao lên là được,0,0
ad nó tao chiêu cuối được là trúng,0,0
thằng sp cứ bắn rừng và ad nó thôi,0,0
vcl,1,1
vãi cả lồn,1,1
thiếu tao mà,0,0
ăn đi,0,0
cái địt mẹ,1,1
ăn rồng,0,0
chán vcl,1,1
chán vãi cả lồn,1,1
cái bụi đen thui,0,0
chửi luôn à,0,0
xin red,0,0
cho tao,0,0
clm,1,1
cái lồn má,1,1
bot ơi là bot,0,0
nó có rồi,0,0
tao làm thế rồi,0,0
có thì tao chịu,0,0
tao đánh hết rồi đấy,0,0
end được không,0,0
không,0,0
ăn rồi đẩy đi,0,0
tao chiêu cuối dính cả lũ rồi,0,0
end được,0,0
mid ra là tao về,0,0
về,0,0
thua đấy,0,0
không sao,0,0
tao đánh được mà,0,0
kiểm soát 3r là win,0,0
nó ăn kìa,0,0
gg,0,0
win thôi,0,0
xin game,0,0
gà,1,1
vl các bạn pick team đỉnh quá,1,1
vãi lồn các bạn pick team đỉnh quá,1,1
2 thằng ngu này,1,1
ăn sao được,0,0
sao không được,0,0
